Vendor,SKU,Product,Tier1Label,Tier1Price
Annie Selke,PC4890-K,Carolina Stripe Natural Quilt King,MSRP,$418.00 
Annie Selke,PC4892-SHS,Carolina Stripe Natural Quilted Sham Standard,MSRP,$58.00 
Annie Selke,PC4892-SHK,Carolina Stripe Natural Quilted Sham King,MSRP,$68.00 
Annie Selke,PC4892-SHE,Carolina Stripe Natural Quilted Sham Euro,MSRP,$68.00 
Annie Selke,PC4892-SHD,Carolina Stripe Natural Quilted Sham Dutch Euro,MSRP,$78.00 
Annie Selke,PC4893-T,Carolina Stripe Sky Quilt Twin/Twin XL,MSRP,$288.00 
Annie Selke,PC4893-FQ,Carolina Stripe Sky Quilt Full/Queen,MSRP,$358.00 
Annie Selke,PC4893-K,Carolina Stripe Sky Quilt King,MSRP,$418.00 
Annie Selke,PC4895-SHS,Carolina Stripe Sky Quilted Sham Standard,MSRP,$58.00 
Annie Selke,PC4895-SHK,Carolina Stripe Sky Quilted Sham King,MSRP,$68.00 
Annie Selke,PC4895-SHE,Carolina Stripe Sky Quilted Sham Euro,MSRP,$68.00 
Annie Selke,PC4895-SHD,Carolina Stripe Sky Quilted Sham Dutch Euro,MSRP,$78.00 
Annie Selke,PC4850-T,Charleston Natural Duvet Cover Twin/Twin XL,MSRP,$218.00 
Annie Selke,PC4850-FQ,Charleston Natural Duvet Cover Full/Queen,MSRP,$288.00 
Annie Selke,PC4850-K,Charleston Natural Duvet Cover King,MSRP,$338.00 
Annie Selke,PC4848-SHS,Charleston Natural Duvet Sham Standard,MSRP,$48.00 
Annie Selke,PC4848-SHK,Charleston Natural Duvet Sham King,MSRP,$58.00 
Annie Selke,PC4848-SHE,Charleston Natural Duvet Sham Euro,MSRP,$58.00 
Annie Selke,PC4848-SHD,Charleston Natural Duvet Sham Dutch Euro,MSRP,$78.00 
Annie Selke,PC4851-T,Crinkle Gauze Denim/Natural Blanket Twin/Twin XL,MSRP,$218.00 
Annie Selke,PC4851-FQ,Crinkle Gauze Denim/Natural Blanket Full/Queen,MSRP,$268.00 
